Title,Code,Genre,Nation,Director,Actor,Movie Code
공동경비구역 JSA,15899,"['드라마', '전쟁', '코미디', '미스터리']",['한국'],['박찬욱'],"['이영애', '이병헌', '송강호']",
말할 수 없는 비밀,68555,"['멜로/로맨스', '판타지', '드라마']",['대만'],['주걸륜'],"['주걸륜', '계륜미', '황추생']",
맨발의 꿈,51083,['드라마'],"['한국', '일본']",['김태균'],"['박희순', '고창석']",
에이트 빌로우,58323,"['모험', '드라마', '가족']",['미국'],['프랭크 마샬'],['폴 워커'],
우리들,146504,['드라마'],['한국'],['윤가은'],"['최수인', '설혜인', '이서연']",
랜드 오브 마인,144100,"['드라마', '전쟁']","['덴마크', '독일']",['마틴 잔드블리엣'],"['로랜드 몰러', '미켈 폴스라르', '루이스 호프만']",
더 코브: 슬픈 돌고래의 진실,53951,['다큐멘터리'],['미국'],['루이 시호요스'],"['조 치숌', '맨디-래 크루이크생크']",
마이클 잭슨의 디스 이즈 잇,70251,['다큐멘터리'],['미국'],['케니 오테가'],['마이클 잭슨'],
바람,70773,"['드라마', '액션', '가족']",['한국'],['이성한'],['정우'],
브레이브하트,17162,"['액션', '드라마', '전쟁']",['미국'],['멜 깁슨'],"['멜 깁슨', '소피 마르소', '패트릭 맥구한']",
부활: 그 증거,194334,['다큐멘터리'],['한국'],['김상철'],"['권오중', '이성혜', '이용규']",
패밀리 맨,31159,"['코미디', '드라마', '멜로/로맨스', '판타지']",['미국'],['브렛 래트너'],"['니콜라스 케이지', '티아 레오니']",
도가니,75413,['드라마'],['한국'],['황동혁'],"['공유', '정유미']",
소년시절의 너,192066,"['멜로/로맨스', '드라마', '범죄', '가족']",['중국'],['증국상'],"['주동우', '이양천새']",
이웃집 토토로,18781,"['애니메이션', '가족', '판타지']",['일본'],['미야자키 하야오'],"['히다카 노리코', '사카모토 치카', '타카기 히토시']",
또 하나의 약속,100654,['드라마'],['한국'],['김태윤'],"['박철민', '윤유선', '김규리']",
가타카,19074,"['SF', '드라마', '스릴러']",['미국'],['앤드류 니콜'],"['에단 호크', '우마 서먼']",
터미네이터,10028,"['SF', '액션', '스릴러']",['미국'],['제임스 카메론'],"['아놀드 슈왈제네거', '마이클 빈', '린다 해밀턴']",
본 얼티메이텀,59075,"['액션', '미스터리', '스릴러']","['미국', '독일']",['폴 그린그래스'],"['맷 데이먼', '줄리아 스타일스', '데이빗 스트라탄']",
로미오와 줄리엣,10185,"['드라마', '멜로/로맨스']","['영국', '이탈리아']",['프랑코 제페렐리'],"['레너드 위팅', '올리비아 핫세', '존 맥에너리']",
토이 스토리 2,27578,"['애니메이션', '모험']",['미국'],['존 라세터'],"['톰 행크스', '팀 알렌', '조안 쿠삭']",
피아니스트의 전설,29059,"['드라마', '판타지', '뮤지컬']",['이탈리아'],['쥬세페 토르나토레'],"['팀 로스', '프루이트 테일러 빈스']",
신데렐라 맨,41375,"['드라마', '멜로/로맨스']",['미국'],['론 하워드'],"['러셀 크로우', '르네 젤위거']",
드래곤 길들이기 3,109193,"['애니메이션', '모험']",['미국'],['딘 데블로이스'],"['제이 바루첼', '아메리카 페레라', '케이트 블란쳇']",
가위손,10936,"['판타지', '멜로/로맨스']",['미국'],['팀 버튼'],"['조니 뎁', '위노나 라이더', '다이앤 위스트']",
온리 더 브레이브,151752,['드라마'],['미국'],['조셉 코신스키'],"['조슈 브롤린', '마일즈 텔러', '제프 브리지스']",
브링 더 소울 : 더 무비,187051,['다큐멘터리'],['한국'],['박준수'],"['RM', '진', '슈가']",
집으로 가는 길,29953,"['드라마', '멜로/로맨스']",['중국'],['장이머우'],"['장쯔이', '순홍레이', '이빈']",
로마의 휴일,10101,"['코미디', '드라마', '멜로/로맨스']","['미국', '이탈리아']",['윌리엄 와일러'],"['그레고리 펙', '오드리 헵번']",
로보캅,10217,"['SF', '액션', '범죄']",['미국'],['폴 버호벤'],"['피터 웰러', '낸시 알렌', '댄 오헐리히']",
트루맛쇼,84148,['다큐멘터리'],['한국'],['김재환'],['박나림'],
